Categoria,Descrição,CV,VC,Custo,VENDA,OR
Telas,AIRCRAFTS TELA SQ. 40X40,C,239.75,10.45,24.9,IMP
Telas,BEAUTIFUL COLORS TELA SQ. 62X47,B,1888.87,33.35,79.9,N
Telas,BEAUTIFUL COLORS TELA SQ. 62X47,X,4452.13,33.35,79.9,N
Telas,BEAUTIFUL DOGS TELAS 62X47 4VRD,A,2161.86,37.7,88.5,N
Telas,BEAUTIFUL PEOPLE TELA SQ. 70X22,B,1362.7,19.4,49.9,N
Telas,BELLE PARIS TELA SQ. 40X40 2VRD.,B,1745.48,6.91,19.9,IMP
Telas,BOTANICAL ARMCHAIR TELA SQ. 40X50 2VRD.,A,2442.51,12.32,29.9,IMP
Telas,BOUTIQUE DE FLEURS TELA SQ. 40X50,C,62.1,8.69,22.0,IMP
Telas,CAFÉ KFE TELA SQ. 40X40 2VRD,C,527.76,6.91,19.9,IMP
Telas,CANDIES TELA SQ. 28X28 3VRD,C,430.06,9.9,24.9,N
Telas,CAR CLUB TELA SQ. 20X20 2VRD.,B,733.52,3.47,9.9,IMP
Telas,CORAÇÃO DOCE TELA SQ. 20X20,C,432.03,3.47,9.9,IMP
Telas,CROQUIS FESTA TELA SQ. 47X62 4VRD,A,2853.07,37.7,88.5,N
Telas,DANDELION TELA SQ. 50X50,C,323.54,9.81,24.9,IMP
Telas,FLORAL PÁSSARO TELA SQ. 62X47,A,2735.02,37.7,88.5,N
Telas,FOFURAS E COSTURAS TELA CR. 28X28 3VRD.,B,780.34,18.07,44.9,N
Telas,GATE WAY TELA SQ. 30X40 2VRD.,C,555.09,5.93,14.9,IMP
Telas,I AM TELA SQ. 40X40 2VRD.,C,331.3,6.91,19.9,IMP
Telas,MESSENGER TELA SQ. 40X50 2VRD,B,1617.0,8.69,22.0,IMP
Telas,NEW YORK PAINT TELA SQ. 30X90 2VRD,A,3163.95,40.9,99.9,N
Telas,OLD TRUNKS TELA SQ. 20X20 2VRD.,C,599.0,3.47,9.9,IMP
Telas,PEQUENO PRÍNCIPE TELA CR. 28X28 3VRD.,B,614.08,18.07,44.9,N
Telas,POEM BOUQUET TELA SQ. 50X50 2VRD.,X,3243.41,16.33,39.9,IMP
Telas,POST MEMORIES TELA SQ. 50X50 2VRD,A,2251.4,16.33,39.9,IMP
Telas,SKYLINE TELA SQ. 62X47 2VRD,C,250.83,37.7,88.5,N
Telas,WISHING BIRD TELA SQ. 40X40 2VRD.,A,2169.84,6.91,24.9,IMP
Telas,1929 FLOWER EXPO TELA SQ. 40X60,B,1070.82,16.24,39.9,IMP
Quadros,ABSTRACT QUADRO SQ. 36X69,B,3094.0,37.7,88.5,N
Quadros,BARISTA QUADRO CO. 20X20 4VRD.,A,3584.0,13.8,34.9,N
Quadros,BIKE CYCLE QUADRO SQ. 30X28 2VRD.,C,1044.0,15.9,38.5,N
Quadros,BISTRO CAFÉ QUADRO SQ. 33X33 2VRD.,A,3258.0,29.9,74.9,N
Quadros,BISTRO QUADRO CO. 4VRD 18X33,B,2727.0,12.9,29.9,N
Quadros,BLOSSOM QUADRO SQ. 2VRD 83X83,X,6226.0,80.6,199.9,N
Quadros,CÉU & MAR QUADRO SQ. 2VRD 53X22,B,2322.0,29.48,72.0,N
Quadros,COFFEE SHOP QUADRO SQ. 72X73,A,5273.0,64.87,159.9,N
Quadros,COFFEE-BREAK QUADRO CO. 3VRD 26X34,A,3797.0,21.97,54.9,N
Quadros,COKE PIN-UPS CLOSE PLACA SQ 2VRD 31X40,C,617.0,41.8,99.9,IMP
Quadros,CORUJA-TOON QUADRO CR. 33X33 2VRD.,C,1154.0,23.9,54.9,N
Quadros,DE BIASI QUADRO SQ. VRD. 32X42,B,2928.0,27.98,69.9,N
Quadros,DISTINI VINI QUADRO CO. 4VRD 13X28,B,2907.0,14.95,37.5,N
Quadros,DOUX MESSAGES QUADRO SQ. 2VRD 30X35,A,3719.0,35.0,82.0,N
Quadros,DOWNTOWN QUADRO SQ. 23X28 4VRD.,C,-4.0,13.0,29.9,N
Quadros,EIGHTIES QUADRO SQ. 34X23 3VRD.,C,650.0,19.9,44.9,N
Quadros,ERVAS QUADRO CO. 3VRD. 20X20,B,3062.0,18.81,44.9,N
Quadros,EXOTIQUES QUADRO SQ. 4VRD 27X57,A,3375.0,34.9,79.9,N
Quadros,FIORI GRIGIO QUADRO SQ. 2VRD 52X52,X,5364.0,50.7,119.9,N
Quadros,FRESH FRUIT QUADRO CO. 3VRD 32X32,B,2729.0,26.0,59.9,N
Quadros,HERBE DE PROVENCE QUADRO SQ. 2VRD 22X22,B,2658.0,14.9,34.9,N
Quadros,HIPNOTIC QUADRO SQ. 2VRD 43X43,A,3598.0,29.38,72.0,N
Quadros,JETRO QUADRO SQ. 4VRD 36X44,C,1234.0,31.9,74.9,N
Quadros,KINDNESS QUADRO SQ. 24X29 3VRD.,C,428.0,14.9,34.9,N
Quadros,LIBÉLULA POST CARD QUADRO SQ. 37X29 4VRD,C,908.0,27.5,69.9,N
Quadros,LOUCAS QUADRO CO. 3VRD. 20X20,A,3365.0,18.81,49.9,N
Quadros,MABRIER QUADRO SQ. 4VRD 22X22,A,5059.0,12.49,34.5,N
Quadros,MADEMOISELLE QUADRO SQ. 4VRD. 13X28,B,2778.0,10.5,29.9,N
Quadros,MAMORA QUADRO SQ. 3VRD 30X30,B,2421.0,14.5,34.9,N
Quadros,MAPA-MUNDI QUADRO SQ. 33X33 2VRD.,C,1310.0,16.9,39.9,N
Quadros,MAPSTER QUADRO SQ. 30X57 C/3,C,892.0,102.8,259.9,IMP
Quadros,MINEROBULOS QUADRO SQ. 4VRD 62X62,A,3236.0,84.0,192.0,N
Quadros,MONDRIAN QUADRO SQ. 3VRD 47X47,A,3619.0,44.5,96.0,N
Quadros,NATUREZA VIVA QUADRO SQ. 3VRD 46X46,B,2883.0,50.0,112.0,N
Quadros,NIGHT IN PARIS QUADRO SQ. 83X83,A,5328.0,77.87,194.9,N
Quadros,NOVA YORK QUADRO SQ. 2VRD 73X73,B,2983.0,118.3,259.9,N
Quadros,PAISAGEM BUCÓLICA QUADRO SQ. 28X28 2VRD,C,1464.0,19.0,44.9,N
Quadros,PARIS QUADRO SQ. 4VRD 28X28,A,5194.0,17.55,44.9,N
Quadros,POP LADRILHO QUADRO SQ. 3VRD 53X53,A,5153.0,115.0,265.0,N
Quadros,RECIFLOR QUADRO SQ. 6VRD. 15X15,A,4289.0,9.97,24.9,N
Quadros,ROUGE VINS QUADRO SQ. 28X58 2VRD.,C,1208.0,32.9,79.9,N
Quadros,SCRITTORI QUADRO SQ. 33X33 2VRD.,C,834.0,13.0,29.9,N
Quadros,SPRING QUADRO SQ. 2VRD 84X69,X,12622.0,75.4,198.5,N
Quadros,TIMES SQUARE QUADRO SQ. 3VRD 53X53,B,2792.0,99.84,249.9,N
Quadros,TROPICAL FLORES QUADRO SQ. 4VRD. 38X38,A,3465.0,29.9,74.9,N
Quadros,TROPICAL FOLHAS QUADRO SQ. 4VRD. 38X38,B,2258.0,29.9,74.9,N
Quadros,UNION QUADRO SQ. 31X31 VRD.,B,2858.0,27.5,62.0,N
Quadros,VINTAGE MONUMENTS QUADRO SQ. 19X24 3VRD.,B,1720.0,14.8,37.5,N
Quadros,WASH TIPS QUADRO LV. 34X34 2VRD.,C,991.0,21.0,49.9,N
Quadros,3D ZOO QUADRO CR. 26X26 5VRD.,C,499.0,16.9,39.9,N
Adornos de Parede,ADORNO FLOWER POT,A,6867.05,86.25,199.9,N
Adornos de Parede,ALVERO ADORNO PAREDE,C,1508.78,51.57,159.9,IMP
Adornos de Parede,ARBERA ADORNO PAREDE C/3,B,2298.1,40.3,129.9,IMP
Adornos de Parede,AUTO ADORNO PAREDE,B,2723.05,33.2,94.9,IMP
Adornos de Parede,BIRDSEYE ADORNO PAREDE ,B,3292.9,48.59,139.9,IMP
Adornos de Parede,BURST ADORNO PAREDE C/4,C,240.79,53.08,129.9,IMP
Adornos de Parede,CROSS STITCH ADORNO PAREDE C/40,C,447.08,21.0,59.9,IMP
Adornos de Parede,CROSS STITCH ADORNO PAREDE C/40,C,359.45,23.39,59.9,IMP
Adornos de Parede,FIETS ADORNO PAREDE,A,5335.85,29.0,94.9,IMP
Adornos de Parede,FOLIA ADORNO PAREDE ,A,7669.41,55.69,169.9,IMP
Adornos de Parede,GEOMETRA ADORNO PAREDE C/4,C,1428.48,48.92,84.9,IMP
Adornos de Parede,MANDALA ADORNO PAREDE,A,6958.18,35.32,99.9,N
Adornos de Parede,MANTRA ADORNO PAREDE C/8,A,5778.17,34.96,119.9,IMP
Adornos de Parede,MI CASA ADORNO PAREDE,C,1487.26,41.61,119.9,IMP
Adornos de Parede,MONARCH WALL ADORNO PAREDE C/24,A,7491.64,30.35,88.5,IMP
Adornos de Parede,NATURA ADORNO PAREDE C/24,B,4754.91,32.06,88.5,IMP
Adornos de Parede,PAPILA ADORNO PAREDE C/3,A,5542.79,54.55,139.9,IMP
Adornos de Parede,PLUFF ADORNO PAREDE C/9,B,3466.41,12.6,39.9,IMP
Adornos de Parede,ROLINHA ADORNO PAREDE 19CM ,C,759.66,7.02,17.5,IMP
Adornos de Parede,SWEET HOME ADORNO ,B,2635.96,32.98,79.9,N
Adornos de Parede,TWEETY ADORNO PAREDE C/6,X,8553.55,30.44,107.5,IMP
Adornos de Parede,UDALA ADORNO PAREDE ,B,3675.26,89.0,199.9,N
Adornos de Parede,VOLER ADORNO PAREDE ,C,1616.0,13.93,34.9,N
Adornos de Parede,WALLFLOWER ADORNO PAREDE C/20,B,4397.95,34.72,94.9,N
Adornos de Parede,WALLFLOWER ADORNO PAREDE C/25,B,4043.08,34.93,88.5,N
Adornos de Parede,WALLFLOWER ADORNO PAREDE C/25,C,2053.37,30.19,88.5,IMP
Adornos de Parede,WALLFLUTTER ADORNO PAREDE C/20,X,12255.74,29.49,94.9,IMP
Adornos de Parede,WEAVE ADORNO PAREDE C/3,B,2894.53,61.02,159.9,IMP
Molduras,FREEDOM KIT MOLDURA 10X15,B,2552.0,4.19,13.9,IMP
